county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal,f_percent,"FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2015-16 
CALPADS Fall 1 
Certification Status"
04,75507,6003164,Traditional,N,6,8,478,263,55.0%,297,62.1%,478,263,55.0%,297,62.1%,Y
04,75507,6003172,Traditional,N,2,5,602,353,58.6%,402,66.8%,602,353,58.6%,402,66.8%,Y
05,10058,0530048,County Community School,N,6,12,25,23,92.0%,24,96.0%,23,21,91.3%,22,95.7%,Y
05,10058,0530154,Traditional,Y,K,12,495,188,38.0%,277,56.0%,477,177,37.1%,263,55.1%,Y
05,10058,6077150,Special Education School,N,K,12,35,11,31.4%,11,31.4%,15,9,60.0%,9,60.0%,Y
05,10058,9010745,County Community School,N,6,12,14,14,100.0%,14,100.0%,13,13,100.0%,13,100.0%,Y
05,61556,0530014,Continuation School,N,9,12,25,19,76.0%,20,80.0%,21,17,81.0%,18,85.7%,Y
05,61556,0530121,Alternative School of Choice,N,9,12,17,7,41.2%,7,41.2%,16,6,37.5%,6,37.5%,Y
05,61556,0532507,Traditional,N,9,12,674,336,49.9%,376,55.8%,653,322,49.3%,361,55.3%,Y
05,61564,0000001,N/A,N/A,,,6,3,50.0%,4,66.7%,6,3,50.0%,4,66.7%,Y
05,61564,0530022,Continuation School,N,9,12,25,19,76.0%,20,80.0%,21,16,76.2%,16,76.2%,Y
05,61564,0530055,Alternative School of Choice,N,K,12,45,30,66.7%,31,68.9%,40,26,65.0%,27,67.5%,Y
05,61564,0531509,Traditional,N,9,12,947,496,52.4%,553,58.4%,911,478,52.5%,532,58.4%,Y
05,61564,6003404,Traditional,N,K,6,80,78,97.5%,80,100.0%,80,78,97.5%,80,100.0%,Y
05,61564,6003420,Traditional,N,K,6,46,46,100.0%,46,100.0%,45,45,100.0%,45,100.0%,Y
05,61564,6003438,Traditional,N,K,6,285,283,99.3%,283,99.3%,280,279,99.6%,279,99.6%,Y
