county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal_count,f_percent,free_and_reduce_count,fr_percent
1,61176,6000665,Traditional,N,K,6,580,185,0.338,216,0.395
1,61176,6000673,Traditional,N,K,3,1018,31,0.031,36,0.036
1,61176,6000681,Traditional,N,K,6,605,123,0.204,158,0.262
1,61176,6000715,Traditional,N,K,6,591,149,0.259,171,0.297
1,61176,6000723,Traditional,N,K,6,615,86,0.14,96,0.156
1,61176,6000749,Traditional,N,K,6,670,43,0.064,52,0.078
1,61176,6000756,Traditional,N,K,6,581,56,0.096,73,0.126
1,61176,6000764,Traditional,N,K,6,552,132,0.24,140,0.255
1,61176,6000798,Traditional,N,K,6,895,70,0.081,85,0.098
1,61176,6000806,Traditional,N,K,6,650,133,0.205,187,0.288
1,61176,6000830,Traditional,N,K,6,559,142,0.26,166,0.303
1,61176,6000848,Traditional,N,3,6,886,33,0.037,42,0.047
1,61176,6056873,Traditional,N,7,8,961,268,0.279,317,0.33
1,61176,6056881,Traditional,N,7,8,729,303,0.416,368,0.505
1,61176,6056907,Traditional,N,7,8,1140,146,0.128,179,0.157
1,61176,6056915,Traditional,N,7,8,1207,207,0.171,260,0.215
1,61176,6056923,Traditional,N,7,8,1017,29,0.029,38,0.037
1,61176,6066468,Traditional,N,K,6,820,32,0.041,33,0.042
1,61176,6089320,Traditional,N,K,6,676,75,0.117,83,0.13
1,61176,6089619,Traditional,N,K,6,926,142,0.156,170,0.187
1,61176,6090526,Traditional,N,K,6,788,42,0.053,53,0.067
1,61176,6090534,Traditional,N,K,6,622,16,0.026,16,0.026
1,61176,6090542,Traditional,N,K,6,720,123,0.171,159,0.221
1,61176,6090559,Traditional,N,K,6,597,117,0.196,149,0.25
1,61176,6104723,Traditional,N,K,6,989,58,0.059,75,0.077
1,61176,6106983,Traditional,N,K,6,880,45,0.053,52,0.061
1,61176,6111330,Traditional,N,K,6,1022,37,0.036,49,0.048
1,61192,1,N/A,N/A,,,83,34,0.54,37,0.587
1,61192,108670,Traditional,Y,9,12,533,225,0.43,316,0.604
1,61192,111815,Traditional,N,K,6,737,325,0.441,391,0.531
1,61192,113902,Traditional,Y,9,12,462,196,0.431,274,0.602
1,61192,119248,Traditional,Y,1,8,222,58,0.261,74,0.333
1,61192,127696,Traditional,Y,K,8,521,273,0.534,339,0.663
1,61192,127944,Traditional,Y,9,12,161,61,0.394,82,0.529
1,61192,131334,Special Education School,N,K,12,8,7,0.875,7,0.875
1,61192,133009,Continuation School,N,9,12,193,112,0.718,125,0.801
1,61192,133629,Traditional,N,9,12,1580,978,0.638,1149,0.75
1,61192,135319,Traditional,N,9,12,2009,1122,0.574,1352,0.692
1,61192,138339,Traditional,N,9,12,1294,887,0.718,1024,0.828
1,61192,6000889,Traditional,N,K,6,399,271,0.679,329,0.825
1,61192,6000905,Traditional,N,K,6,922,607,0.669,722,0.795
1,61192,6000913,Traditional,N,K,6,775,607,0.792,681,0.889
1,61192,6000921,Traditional,N,K,6,619,338,0.56,383,0.634
1,61192,6000947,Traditional,N,K,6,455,311,0.684,370,0.813
1,61192,6000962,Traditional,N,K,6,566,361,0.646,426,0.762
1,61192,6000988,Traditional,N,K,6,574,460,0.824,503,0.901
1,61192,6000996,Traditional,N,K,6,619,477,0.771,538,0.869
1,61192,6001044,Traditional,N,K,6,726,572,0.801,632,0.885
1,61192,6001051,Traditional,N,K,6,491,255,0.519,324,0.66
1,61192,6001093,Traditional,N,K,6,591,397,0.672,467,0.79
1,61192,6001101,Traditional,N,K,6,580,432,0.758,479,0.84
1,61192,6001127,Traditional,N,K,6,568,380,0.682,447,0.803
1,61192,6001135,Traditional,N,K,6,735,530,0.734,608,0.842
1,61192,6001176,Traditional,N,K,6,687,337,0.5,400,0.593
1,61192,6001192,Traditional,N,K,6,507,315,0.621,348,0.686
1,61192,6056931,Traditional,N,7,8,632,376,0.595,435,0.688
1,61192,6056949,Traditional,N,7,8,579,433,0.748,495,0.855
1,61192,6056956,Traditional,N,7,8,636,392,0.616,469,0.737
1,61192,6056972,Traditional,N,7,8,513,400,0.78,457,0.891
1,61192,6062160,Traditional,N,K,6,598,432,0.722,488,0.816
1,61192,6066476,Traditional,N,7,8,817,571,0.699,667,0.816
1,61192,6090583,Traditional,N,K,6,566,293,0.518,359,0.634
1,61192,6104566,Traditional,N,K,6,735,635,0.864,676,0.92
1,61192,6113815,Traditional,N,K,8,153,101,0.66,115,0.752
1,61200,1,N/A,N/A,,,27,2,0.077,2,0.077
1,61200,107839,Traditional,Y,K,8,1109,45,0.041,54,0.049
1,61200,120931,Traditional,Y,9,12,424,39,0.095,42,0.102
1,61200,130393,Alternative School of Choice,N,1,12,89,14,0.177,15,0.19
1,61200,132670,Continuation School,N,7,12,132,47,0.461,52,0.51
1,61200,133397,Traditional,N,9,12,2059,249,0.126,291,0.147
1,61200,134536,Traditional,N,9,12,1794,299,0.171,349,0.2
1,61200,6001234,Traditional,N,K,8,836,487,0.583,527,0.63
1,61200,6001242,Traditional,N,6,8,621,157,0.253,179,0.288
1,61200,6001259,Traditional,N,K,5,735,68,0.094,75,0.104
1,61200,6001283,Traditional,N,K,5,501,172,0.35,206,0.419
1,61200,6001291,Traditional,N,K,8,645,159,0.252,196,0.31
1,61200,6001317,Traditional,N,K,5,442,306,0.722,334,0.788
1,61200,6001341,Traditional,N,6,8,948,79,0.083,94,0.099
1,61200,6071906,Traditional,N,K,5,621,120,0.199,139,0.23
1,61200,6085773,Traditional,N,6,8,615,91,0.148,123,0.2
1,61200,6089338,Traditional,N,K,5,542,97,0.184,112,0.213
1,61200,6097661,Traditional,N,K,5,773,27,0.035,32,0.041
1,61200,6110332,Traditional,N,P,5,594,114,0.198,129,0.224
1,61200,6117543,Traditional,N,K,5,545,64,0.12,83,0.156
1,61218,6001358,Traditional,N,K,8,19,10,0.526,11,0.579
1,61234,1,N/A,N/A,,,5,0,0,0,0
1,61234,130054,Traditional,N,9,12,1767,599,0.347,722,0.418
1,61234,130484,Alternative School of Choice,N,K,12,40,21,0.553,21,0.553
1,61234,135426,Continuation School,N,9,12,76,35,0.583,39,0.65
1,61234,6001440,Traditional,N,K,6,465,296,0.645,344,0.749
1,61234,6001457,Traditional,N,K,6,299,167,0.586,192,0.674
1,61234,6001473,Traditional,N,K,6,377,166,0.44,189,0.501
1,61234,6001481,Traditional,N,K,6,404,233,0.577,273,0.676
1,61234,6001499,Traditional,N,K,6,539,99,0.184,128,0.237
1,61234,6001507,Traditional,N,K,6,348,78,0.224,86,0.247
1,61234,6001523,Traditional,N,K,6,404,136,0.346,164,0.417
1,61234,6001531,Traditional,N,K,6,354,204,0.578,230,0.652
1,61234,6102917,Traditional,N,7,8,935,378,0.404,454,0.486
1,61242,1,N/A,N/A,,,21,1,0.059,1,0.059
1,61242,110460,Continuation School,N,9,12,145,51,0.567,53,0.589
1,61242,110478,Alternative School of Choice,N,9,12,13,7,0.636,9,0.818
1,61242,126763,Alternative School of Choice,N,K,12,154,47,0.353,51,0.383
1,61242,134668,Traditional,N,9,12,3793,1125,0.306,1506,0.41
1,61242,6001572,Traditional,N,K,5,839,292,0.356,404,0.492
1,61242,6001606,Traditional,N,K,5,604,340,0.571,423,0.711
1,61242,6001622,Traditional,N,K,5,699,372,0.545,434,0.635
1,61242,6068266,Traditional,N,6,8,1409,381,0.27,502,0.356
1,61242,6097679,Traditional,N,6,8,1284,590,0.46,711,0.554
1,61242,6101604,Traditional,N,K,5,838,210,0.255,277,0.336
1,61242,6115505,Traditional,N,K,5,876,290,0.338,357,0.417
1,61242,6115554,Traditional,N,K,5,645,309,0.49,378,0.599
1,61242,6118525,Traditional,N,K,5,851,127,0.153,182,0.219
1,61259,1,N/A,N/A,,,148,34,0.256,36,0.271
1,61259,100065,Traditional,Y,9,12,337,198,0.606,250,0.765
1,61259,100123,Traditional,Y,K,8,112,89,0.817,104,0.954
1,61259,100701,Traditional,N,9,12,163,109,0.703,122,0.787
1,61259,100792,Traditional,N,K,5,306,249,0.814,265,0.866
1,61259,102988,Traditional,N,K,5,334,294,0.902,301,0.923
1,61259,106542,Community Day School,N,9,12,18,11,0.786,12,0.857
1,61259,106559,Community Day School,N,6,8,4,3,0.75,3,0.75
1,61259,106906,Traditional,Y,6,12,284,270,0.964,270,0.964
1,61259,108944,Traditional,Y,9,12,260,165,0.708,189,0.811
1,61259,109819,Traditional,Y,K,8,530,333,0.635,406,0.775
1,61259,110189,Traditional,N,9,12,318,253,0.83,262,0.859
1,61259,110239,Traditional,N,K,5,383,317,0.843,323,0.859
1,61259,110247,Traditional,N,K,5,439,304,0.704,329,0.762
1,61259,110254,Traditional,N,P,8,326,275,0.873,284,0.902
1,61259,110262,Traditional,N,K,5,290,271,0.961,274,0.972
1,61259,111476,Traditional,Y,P,5,746,639,0.868,703,0.955
1,61259,111856,Traditional,Y,9,12,229,136,0.618,187,0.85
1,61259,112763,Traditional,N,6,8,382,329,0.861,338,0.885
1,61259,112771,Traditional,N,6,8,371,333,0.898,348,0.938
1,61259,112789,Traditional,N,6,8,371,334,0.9,350,0.943
1,61259,112797,Traditional,N,6,12,482,426,0.914,445,0.955
1,61259,112805,Traditional,N,6,8,330,295,0.894,304,0.921
1,61259,112813,Traditional,N,K,5,413,361,0.883,373,0.912
1,61259,114363,Traditional,Y,K,8,641,377,0.591,489,0.766
1,61259,114454,Traditional,Y,K,8,231,63,0.273,97,0.42
1,61259,114868,Traditional,Y,9,12,403,261,0.671,323,0.83
1,61259,115014,Traditional,Y,5,8,317,181,0.571,227,0.716
1,61259,115204,Traditional,N,K,5,408,359,0.886,367,0.906
1,61259,115238,Traditional,Y,9,12,263,218,0.865,235,0.933
1,61259,115386,Traditional,Y,9,Adult,78,2,1,2,1
1,61259,115576,Traditional,N,K,5,319,272,0.869,273,0.872
1,61259,115584,Traditional,N,K,5,454,414,0.937,426,0.964
1,61259,115592,Traditional,Y,K,5,419,345,0.823,381,0.909
1,61259,115600,Traditional,N,K,5,420,384,0.934,394,0.959
1,61259,115618,Traditional,N,P,8,611,495,0.822,511,0.849
1,61259,115626,Traditional,N,6,8,198,182,0.919,190,0.96
1,61259,115667,Alternative School of Choice,N,9,12,373,246,0.882,256,0.918
1,61259,118224,Traditional,Y,6,12,578,449,0.792,503,0.887
1,61259,118653,Continuation School,N,9,12,75,38,0.905,40,0.952
1,61259,119859,Alternative School of Choice,N,9,12,90,24,0.545,25,0.568
1,61259,120188,Traditional,Y,K,8,218,180,0.837,202,0.94
1,61259,121210,Traditional,N,P,P,1,0,0,0,0
1,61259,121376,Home and Hospital,N,K,12,3,0,0,0,0
1,61259,123711,Traditional,Y,K,5,271,215,0.821,234,0.893
1,61259,125161,Traditional,N,9,12,564,419,0.78,435,0.81
1,61259,125716,Traditional,N,9,12,773,588,0.831,601,0.849
1,61259,126748,Traditional,Y,9,12,337,289,0.884,306,0.936
1,61259,128413,Traditional,Y,K,5,286,236,0.837,263,0.933
1,61259,129403,Traditional,Y,6,8,288,233,0.809,259,0.899
1,61259,129635,Traditional,Y,6,8,263,177,0.673,228,0.867
1,61259,129932,Traditional,Y,6,12,344,50,0.145,53,0.154
1,61259,130146,Continuation School,N,9,12,158,60,0.741,62,0.765
1,61259,130179,Alternative School of Choice,N,9,12,113,72,0.72,72,0.72
1,61259,130575,Traditional,N,6,12,473,417,0.903,435,0.942
1,61259,130617,Traditional,Y,6,12,616,151,0.251,151,0.251
1,61259,130633,Traditional,Y,K,8,490,353,0.72,397,0.81
1,61259,130666,Traditional,Y,6,12,531,424,0.822,474,0.919
1,61259,130732,Traditional,Y,K,5,279,228,0.832,253,0.923
1,61259,131672,Traditional,Y,K,5,139,76,0.784,84,0.866
1,61259,131896,Traditional,Y,K,8,186,91,0.495,100,0.543
1,61259,131946,Traditional,Y,6,8,32,27,0.844,30,0.938
1,61259,132514,Traditional,Y,K,8,113,22,0.222,28,0.283
1,61259,132555,Traditional,Y,9,12,34,13,0.382,18,0.529
1,61259,132688,Continuation School,N,9,12,201,62,0.713,63,0.724
1,61259,135905,Traditional,N,9,12,1583,1222,0.816,1323,0.883
1,61259,136051,Traditional,N,9,12,2016,846,0.43,936,0.476
1,61259,137943,Traditional,N,9,12,1854,1209,0.682,1345,0.759
1,61259,3030772,Traditional,Y,6,12,745,85,0.116,87,0.118
1,61259,6001630,Traditional,N,K,5,374,305,0.833,315,0.861
1,61259,6001648,Traditional,N,K,5,567,68,0.12,80,0.141
1,61259,6001655,Traditional,N,K,5,462,369,0.82,388,0.862
1,61259,6001663,Traditional,N,K,5,362,277,0.774,292,0.816
1,61259,6001689,Traditional,N,K,5,269,219,0.823,227,0.853
1,61259,6001697,Traditional,N,K,5,242,163,0.7,175,0.751
1,61259,6001713,Traditional,N,K,5,220,181,0.838,189,0.875
1,61259,6001739,Traditional,N,K,5,408,210,0.515,238,0.583
1,61259,6001754,Traditional,N,K,5,450,36,0.08,38,0.084
1,61259,6001812,Traditional,N,K,5,314,219,0.737,239,0.805
1,61259,6001820,Traditional,N,K,5,750,650,0.877,670,0.904
1,61259,6001838,Traditional,N,K,5,374,305,0.85,313,0.872
1,61259,6001846,Traditional,N,K,5,606,533,0.905,557,0.946
1,61259,6001853,Traditional,N,K,5,452,139,0.312,161,0.362
1,61259,6001879,Traditional,N,K,5,274,179,0.663,192,0.711
1,61259,6001895,Traditional,N,K,5,265,57,0.215,63,0.238
1,61259,6001903,Traditional,N,K,5,358,321,0.912,330,0.938
1,61259,6001911,Traditional,N,K,8,366,20,0.055,20,0.055
1,61259,6001929,Traditional,N,K,5,404,365,0.915,371,0.93
1,61259,6001945,Traditional,N,K,5,425,89,0.209,99,0.233
1,61259,6001978,Traditional,N,K,5,214,189,0.892,194,0.915
1,61259,6001994,Traditional,N,K,5,559,386,0.704,413,0.754
1,61259,6002018,Traditional,N,K,5,740,479,0.661,510,0.703
1,61259,6002042,Traditional,N,K,5,395,348,0.909,356,0.93
1,61259,6002059,Traditional,N,K,5,400,364,0.933,371,0.951
1,61259,6002075,Traditional,N,K,5,450,411,0.936,418,0.952
1,61259,6002083,Traditional,N,K,5,615,84,0.139,94,0.155
1,61259,6002091,Traditional,N,K,6,309,276,0.911,277,0.914
1,61259,6002109,Traditional,N,K,5,320,63,0.197,71,0.222
1,61259,6002117,Traditional,N,K,5,349,257,0.749,279,0.813
1,61259,6002125,Traditional,N,K,5,233,208,0.904,213,0.926
1,61259,6002141,Traditional,N,K,5,359,84,0.234,93,0.259
1,61259,6002174,Traditional,N,K,5,427,166,0.4,174,0.419
1,61259,6002182,Traditional,N,K,5,278,261,0.96,263,0.967
1,61259,6002190,Traditional,N,K,5,352,305,0.889,324,0.945
1,61259,6002216,Traditional,N,K,5,394,52,0.136,54,0.142
1,61259,6002273,Traditional,N,K,5,292,269,0.921,274,0.938
1,61259,6056998,Traditional,N,6,8,484,359,0.742,381,0.787
1,61259,6057004,Traditional,N,6,8,418,206,0.493,238,0.569
1,61259,6057020,Traditional,N,6,8,204,184,0.902,191,0.936
1,61259,6057046,Traditional,N,K,5,293,261,0.906,270,0.938
1,61259,6057061,Traditional,N,6,8,817,445,0.545,511,0.625
1,61259,6057079,Traditional,N,6,8,827,366,0.443,417,0.504
1,61259,6057087,Traditional,N,6,8,511,460,0.9,492,0.963
1,61259,6057095,Traditional,N,6,8,455,395,0.868,425,0.934
1,61259,6066450,Traditional,N,6,12,691,640,0.926,670,0.97
1,61259,6072235,Traditional,N,P,5,307,279,0.921,285,0.941
1,61259,6096523,Traditional,N,K,6,359,297,0.851,302,0.865
1,61259,6111660,Traditional,Y,6,8,190,134,0.705,168,0.884
1,61259,6113807,Traditional,Y,5,8,131,86,0.656,110,0.84
1,61259,6114011,Opportunity School,N,K,12,193,105,0.673,109,0.699
1,61259,6117568,Traditional,Y,K,5,390,314,0.82,368,0.961
1,61259,6117972,Traditional,Y,K,8,219,45,0.205,48,0.219
1,61259,6118608,Traditional,Y,K,8,444,349,0.786,398,0.896
1,61259,6118616,Traditional,N,K,5,322,276,0.857,286,0.888
1,61259,6118640,Traditional,N,P,8,479,269,0.58,281,0.606
1,61259,6118657,Traditional,N,6,8,371,331,0.892,351,0.946
1,61275,1,N/A,N/A,,,13,0,0,0,0
1,61275,130286,Continuation School,N,9,12,70,4,0.062,4,0.062
1,61275,136515,Traditional,N,9,12,800,9,0.011,9,0.011
1,61275,6002281,Traditional,N,K,5,335,6,0.018,6,0.018
1,61275,6002299,Traditional,N,K,5,497,2,0.004,2,0.004
1,61275,6002307,Traditional,N,K,5,312,0,0,0,0
1,61275,6066492,Traditional,N,6,8,681,3,0.004,3,0.004
1,61291,1,N/A,N/A,,,18,6,0.333,6,0.333
1,61291,134528,Continuation School,N,9,12,130,76,0.661,85,0.739
1,61291,137588,Traditional,N,9,12,2597,1227,0.488,1557,0.62
1,61291,6002372,Traditional,N,K,5,436,196,0.462,249,0.587
1,61291,6002398,Traditional,N,K,5,610,385,0.645,454,0.76
1,61291,6002414,Traditional,N,K,5,428,155,0.362,210,0.491
1,61291,6002422,Traditional,N,K,5,476,276,0.601,339,0.739
1,61291,6002430,Traditional,N,K,5,395,197,0.521,239,0.632
1,61291,6002448,Traditional,N,K,5,512,142,0.286,171,0.344
1,61291,6002455,Traditional,N,K,5,385,246,0.639,272,0.706
1,61291,6002463,Traditional,N,K,5,714,397,0.566,488,0.695
1,61291,6057111,Traditional,N,6,8,890,533,0.599,646,0.726
1,61291,6066518,Traditional,N,6,8,969,521,0.538,664,0.685
1,61309,1,N/A,N/A,,,32,3,0.12,3,0.12
1,61309,101212,Traditional,Y,5,8,416,205,0.493,298,0.716
1,61309,111799,Alternative School of Choice,N,9,12,192,111,0.603,127,0.69
1,61309,114421,Traditional,Y,9,12,559,249,0.46,371,0.686
1,61309,130849,Traditional,N,9,12,1839,659,0.37,886,0.497
