school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Academy Of Arts And Sciences: El Cajon Middle And ,ela,39,True,0.257,0.314,0.9651076466221233,7.222222222222221,8,1,0,0,3643.596100317909,0.325
Academy Of Arts And Sciences: El Cajon Middle And ,math,39,True,0.257,0.314,0.9651076466221233,7.222222222222221,8,1,0,0,3643.596100317909,0.155
Academy Of Arts And Sciences: Fresno,ela,125,True,0.467,0.475,2.7599911680282623,41.666666666666664,8,1,0,0,2089.243717549326,0.16999999999999998
Academy Of Arts And Sciences: Fresno,math,125,True,0.467,0.475,2.7599911680282623,41.666666666666664,8,1,0,0,2089.243717549326,0.065
Academy Of Arts And Sciences: Los Angeles (9-12),ela,29,True,0.37,0.37,1.2215669755686607,9.666666666666666,8,1,0,0,1178.1633846153845,
Academy Of Arts And Sciences: Los Angeles (9-12),math,29,True,0.37,0.37,1.2215669755686607,9.666666666666666,8,1,0,0,1178.1633846153845,
Academy Of Arts And Sciences: Oxnard & Ventura,ela,79,True,0.32899999999999996,0.355,1.784504178902191,26.333333333333332,8,1,0,0,1302.1084589041095,0.25
Academy Of Arts And Sciences: Oxnard & Ventura,math,79,True,0.32899999999999996,0.355,1.784504178902191,26.333333333333332,8,1,0,0,1302.1084589041095,0.14500000000000002
Academy Of Arts And Sciences: Sonoma,ela,300,True,0.191,0.20800000000000002,6.020469596628537,71.42857142857143,8,1,0,0,4554.487162586315,0.3455339805825243
Academy Of Arts And Sciences: Sonoma,math,300,True,0.191,0.20800000000000002,6.020469596628537,71.42857142857143,8,1,0,0,4554.487162586315,0.1531443298969072
Academy Of Arts And Sciences: Thousand Oaks & Simi,ela,365,True,0.332,0.353,7.967692643527614,86.9047619047619,8,1,0,0,1302.1084589041095,0.44754385964912285
Academy Of Arts And Sciences: Thousand Oaks & Simi,math,365,True,0.332,0.353,7.967692643527614,86.9047619047619,8,1,0,0,1302.1084589041095,0.1738793103448276
Academy Of Careers And Exploration,ela,288,True,0.498,0.5820000000000001,14.364089775561096,144.0,8,6,0,0.0,5393.435375,0.6013529411764705
Academy Of Careers And Exploration,math,288,True,0.498,0.5820000000000001,14.364089775561096,144.0,8,6,0,0.0,5393.435375,0.27929411764705886
Academy Of Medical Arts At Carson High,ela,510,False,0.429,0.61,23.181818181818183,,18,18,0,0,5587.211817288847,0.89
Academy Of Medical Arts At Carson High,math,510,False,0.429,0.61,23.181818181818183,,18,18,0,0,5587.211817288847,0.46
Academy Of Personalized Learning,ela,368,True,0.419,0.606,23.0,193.6842105263158,18,5,0,0,6187.149527559056,0.5482795698924731
Academy Of Personalized Learning,math,368,True,0.419,0.606,23.0,193.6842105263158,18,5,0,0,6187.149527559056,0.23040322580645164
Academy Of Science And Engineering,ela,226,True,0.8240000000000001,0.932,16.865671641791046,49.1304347826087,7,3,0,0.0,5587.211817288847,0.25
